PACKNAME,RULENAME
Critical Conformance Pack ,acm-certificate-expiration-check
Critical Conformance Pack ,cloudfront-no-deprecated-ssl-protocols
Critical Conformance Pack ,cloudfront-traffic-to-origin-encrypted
Critical Conformance Pack ,cloudfront-viewer-policy-https
Critical Conformance Pack ,dynamodb-table-encryption-enabled
Critical Conformance Pack ,ecs-no-environment-secrets
Critical Conformance Pack ,iam-password-policy
Critical Conformance Pack ,iam-root-access-key-check
Critical Conformance Pack ,mfa-enabled-for-iam-console-access
Critical Conformance Pack ,codebuild-project-envvar-awscred-check
Critical Conformance Pack ,kms-cmk-not-scheduled-for-deletion
Critical Conformance Pack ,root-account-mfa-enabled
Critical Conformance Pack ,sagemaker-endpoint-configuration-kms-key-configured
Critical Conformance Pack ,sagemaker-notebook-instance-kms-key-configured
Critical Conformance Pack ,sagemaker-notebook-no-direct-internet-access
Critical Conformance Pack ,restricted-ssh
Critical Conformance Pack ,rds-instance-public-access-check
Critical Conformance Pack ,s3-account-level-public-access-blocks
Critical Conformance Pack ,s3-bucket-public-read-prohibited
Critical Conformance Pack ,s3-bucket-public-write-prohibited
Dev Platform Conformance Pack,alertingintegrationcomplianceB7EEB6AA
Dev Platform Conformance Pack,apigatewaylogscompliance480E44F4
Dev Platform Conformance Pack,applicationdeploypipelinecomplianceE7A8DC2B
Dev Platform Conformance Pack,authdeploypipelinecomplianceF1026BDC
Dev Platform Conformance Pack,budgetalertscompliance1002F8D9
Dev Platform Conformance Pack,buildnotificationscompliance835EC2E5
Dev Platform Conformance Pack,certificatecompliance3F4DFB02
Dev Platform Conformance Pack,certificateexpirycomplianceCD049069
Dev Platform Conformance Pack,cloudfrontdistributioncompliance7F5414DE
Dev Platform Conformance Pack,cloudfrontmonitoringalarmcomplianceF485818D
Dev Platform Conformance Pack,cloudwatchalarmstackcompliance23CC0EB5
Dev Platform Conformance Pack,cognitoidpcomplianceF3D597E5
Dev Platform Conformance Pack,containerimagerepositorycomplianceD453DCB2
Dev Platform Conformance Pack,containersignercompliance96BD2D6E
Dev Platform Conformance Pack,controltowerexecutioncompliance34E20425
Dev Platform Conformance Pack,deploytemplatetestcomplianceD4F572A1
Dev Platform Conformance Pack,deploymentanalysiscompliance0DC7EC52
Dev Platform Conformance Pack,deploymentgrafanaannotationcomplianceE7511B29
Dev Platform Conformance Pack,ecrimagescanfindingsloggercompliance745F2545
Dev Platform Conformance Pack,ecscanarydeploymentcomplianceD1347D7B
Dev Platform Conformance Pack,examplewafbootstrapcomplianceF26AC338
Dev Platform Conformance Pack,githubidentitycomplianceD20DDFA7
Dev Platform Conformance Pack,grafanakeyrotationcomplianceB9CDD559
Dev Platform Conformance Pack,grafanametricscompliance078AC181
Dev Platform Conformance Pack,identitybrokeroidcprovidercompliance7BBA3C1E
Dev Platform Conformance Pack,signercompliance99D04E05
Dev Platform Conformance Pack,testimagerepositorycomplianceD88F1B56
Dev Platform Conformance Pack,uploadbucketcompliance3B50775F
Dev Platform Conformance Pack,vpccomplianceE89B04EB
High Conformance Pack,cloudfront-distribution-associated-with-waf
High Conformance Pack,cloudtrail-cloudwatch-logs-enabled
High Conformance Pack,cloudtrail-encryption-enabled
High Conformance Pack,cloudtrail-log-file-validation-enabled
High Conformance Pack,cloudtrail-s3-dataevents-enabled
High Conformance Pack,cloudtrail-security-trail-enabled
High Conformance Pack,multi-region-cloudtrail-enabled
High Conformance Pack,dax-encryption-enabled
